algoritmo,input,output,pageSize,pageCount,totalElementos,tiempo_ordenamiento_ms,tiempo_total_ms,hits,faults,ordenado,archivo_legible_generado
mergesort,/home/gabo/Documents/Proyecto1-Datos-2/final_256.bin,/home/gabo/Documents/Proyecto1-Datos-2/merge_ps512.bin,512,32,67108864,19115,19267,3486384128,3276800,true,true
introsort,/home/gabo/Documents/Proyecto1-Datos-2/final_256.bin,/home/gabo/Documents/Proyecto1-Datos-2/intro_ps512.bin,512,32,67108864,21849,22116,4707542674,3294052,true,true
quicksort,/home/gabo/Documents/Proyecto1-Datos-2/final_256.bin,/home/gabo/Documents/Proyecto1-Datos-2/quick_ps512.bin,512,32,67108864,27239,27543,4403722608,3271477,true,true
radixsort,/home/gabo/Documents/Proyecto1-Datos-2/final_256.bin,/home/gabo/Documents/Proyecto1-Datos-2/radix_ps512.bin,512,32,67108864,15332,15770,802557358,2749010,true,true
mergesort,/home/gabo/Documents/Proyecto1-Datos-2/final_256.bin,/home/gabo/Documents/Proyecto1-Datos-2/merge_ps1024.bin,1024,32,67108864,20777,21118,3488153600,1507328,true,true
introsort,/home/gabo/Documents/Proyecto1-Datos-2/final_256.bin,/home/gabo/Documents/Proyecto1-Datos-2/intro_ps1024.bin,1024,32,67108864,21002,21335,4709328107,1508619,true,true
quicksort,/home/gabo/Documents/Proyecto1-Datos-2/final_256.bin,/home/gabo/Documents/Proyecto1-Datos-2/quick_ps1024.bin,1024,32,67108864,21787,22201,4405495944,1498141,true,true
radixsort,/home/gabo/Documents/Proyecto1-Datos-2/final_256.bin,/home/gabo/Documents/Proyecto1-Datos-2/radix_ps1024.bin,1024,32,67108864,12676,13093,803924401,1381967,true,true
mergesort,/home/gabo/Documents/Proyecto1-Datos-2/final_256.bin,/home/gabo/Documents/Proyecto1-Datos-2/merge_ps2048.bin,2048,32,67108864,19916,20231,3488972800,688128,true,true
introsort,/home/gabo/Documents/Proyecto1-Datos-2/final_256.bin,/home/gabo/Documents/Proyecto1-Datos-2/intro_ps2048.bin,2048,32,67108864,19816,20207,4710150806,685920,true,true
quicksort,/home/gabo/Documents/Proyecto1-Datos-2/final_256.bin,/home/gabo/Documents/Proyecto1-Datos-2/quick_ps2048.bin,2048,32,67108864,19489,19883,4406312645,681440,true,true
radixsort,/home/gabo/Documents/Proyecto1-Datos-2/final_256.bin,/home/gabo/Documents/Proyecto1-Datos-2/radix_ps2048.bin,2048,32,0,0,0,0,0,true,true
radixsort,/home/gabo/Documents/Proyecto1-Datos-2/final_256.bin,/home/gabo/Documents/Proyecto1-Datos-2/radix_ps2048.bin,2048,32,67108864,8604,8794,804613887,692481,true,true
mergesort,/home/gabo/Documents/Proyecto1-Datos-2/final_256.bin,/home/gabo/Documents/Proyecto1-Datos-2/merge_ps4096.bin,4096,32,67108864,16778,16943,3489349632,311296,true,true
introsort,/home/gabo/Documents/Proyecto1-Datos-2/final_256.bin,/home/gabo/Documents/Proyecto1-Datos-2/intro_ps4096.bin,4096,32,67108864,18415,18718,4710528084,308642,true,true
quicksort,/home/gabo/Documents/Proyecto1-Datos-2/final_256.bin,/home/gabo/Documents/Proyecto1-Datos-2/quick_ps4096.bin,4096,32,67108864,18033,18260,4406687588,306497,true,true
radixsort,/home/gabo/Documents/Proyecto1-Datos-2/final_256.bin,/home/gabo/Documents/Proyecto1-Datos-2/radix_ps4096.bin,4096,32,67108864,9280,9570,804959702,346666,true,true
mergesort,/home/gabo/Documents/Proyecto1-Datos-2/final_256.bin,/home/gabo/Documents/Proyecto1-Datos-2/merge_pc8.bin,4096,8,67108864,17248,17441,3489284096,376832,true,true
introsort,/home/gabo/Documents/Proyecto1-Datos-2/final_256.bin,/home/gabo/Documents/Proyecto1-Datos-2/intro_pc8.bin,4096,8,67108864,19014,19203,4710453972,382754,true,true
quicksort,/home/gabo/Documents/Proyecto1-Datos-2/final_256.bin,/home/gabo/Documents/Proyecto1-Datos-2/quick_pc8.bin,4096,8,67108864,18134,18422,4406613917,380168,true,true
radixsort,/home/gabo/Documents/Proyecto1-Datos-2/final_256.bin,/home/gabo/Documents/Proyecto1-Datos-2/radix_pc8.bin,4096,8,67108864,1176213,1176379,654152063,151154305,true,true
mergesort,/home/gabo/Documents/Proyecto1-Datos-2/final_256.bin,/home/gabo/Documents/Proyecto1-Datos-2/merge_pc32.bin,4096,32,67108864,16946,17100,3489349632,311296,true,true
introsort,/home/gabo/Documents/Proyecto1-Datos-2/final_256.bin,/home/gabo/Documents/Proyecto1-Datos-2/intro_pc32.bin,4096,32,67108864,18187,18414,4710528084,308642,true,true
quicksort,/home/gabo/Documents/Proyecto1-Datos-2/final_256.bin,/home/gabo/Documents/Proyecto1-Datos-2/quick_pc32.bin,4096,32,67108864,17980,18205,4406687588,306497,true,true
radixsort,/home/gabo/Documents/Proyecto1-Datos-2/final_256.bin,/home/gabo/Documents/Proyecto1-Datos-2/radix_pc32.bin,4096,32,67108864,7800,8044,804959702,346666,true,true
mergesort,/home/gabo/Documents/Proyecto1-Datos-2/final_256.bin,/home/gabo/Documents/Proyecto1-Datos-2/merge_pc64.bin,4096,64,67108864,17110,17319,3489382400,278528,true,true
introsort,/home/gabo/Documents/Proyecto1-Datos-2/final_256.bin,/home/gabo/Documents/Proyecto1-Datos-2/intro_pc64.bin,4096,64,67108864,19364,19644,4710564144,272582,true,true
quicksort,/home/gabo/Documents/Proyecto1-Datos-2/final_256.bin,/home/gabo/Documents/Proyecto1-Datos-2/quick_pc64.bin,4096,64,67108864,17407,17876,4406723525,270560,true,true
radixsort,/home/gabo/Documents/Proyecto1-Datos-2/final_256.bin,/home/gabo/Documents/Proyecto1-Datos-2/radix_pc64.bin,4096,64,67108864,6594,6912,805109668,196700,true,true
countingsort,/home/gabo/Documents/Proyecto1-Datos-2/final_256.bin,/home/gabo/Documents/Proyecto1-Datos-2/counting_ps512.bin,512,32,67108864,929,1265,200933377,393216,true,true
countingsort,/home/gabo/Documents/Proyecto1-Datos-2/final_256.bin,/home/gabo/Documents/Proyecto1-Datos-2/counting_ps1024.bin,1024,32,67108864,1605,2107,201129985,196608,true,true
countingsort,/home/gabo/Documents/Proyecto1-Datos-2/final_256.bin,/home/gabo/Documents/Proyecto1-Datos-2/counting_ps2048.bin,2048,32,67108864,1071,1497,201228289,98304,true,true
countingsort,/home/gabo/Documents/Proyecto1-Datos-2/final_256.bin,/home/gabo/Documents/Proyecto1-Datos-2/counting_ps4096.bin,4096,32,0,0,0,0,0,true,true
countingsort,/home/gabo/Documents/Proyecto1-Datos-2/final_256.bin,/home/gabo/Documents/Proyecto1-Datos-2/counting_pc8.bin,4096,8,0,0,0,0,0,true,true
countingsort,/home/gabo/Documents/Proyecto1-Datos-2/final_256.bin,/home/gabo/Documents/Proyecto1-Datos-2/counting_pc16.bin,4096,16,0,0,0,0,0,true,true
countingsort,/home/gabo/Documents/Proyecto1-Datos-2/final_256.bin,/home/gabo/Documents/Proyecto1-Datos-2/counting_pc32.bin,4096,32,0,0,0,0,0,true,true
countingsort,/home/gabo/Documents/Proyecto1-Datos-2/final_256.bin,/home/gabo/Documents/Proyecto1-Datos-2/counting_pc64.bin,4096,64,0,0,0,0,0,true,true
countingsort,/home/gabo/Documents/Proyecto1-Datos-2/final_256.bin,/home/gabo/Documents/Proyecto1-Datos-2/counting_ps4096.bin,4096,32,67108864,598,1161,201277441,49152,true,true
countingsort,/home/gabo/Documents/Proyecto1-Datos-2/final_256.bin,/home/gabo/Documents/Proyecto1-Datos-2/counting_pc8.bin,4096,8,67108864,660,1683,201277441,49152,true,true
countingsort,/home/gabo/Documents/Proyecto1-Datos-2/final_256.bin,/home/gabo/Documents/Proyecto1-Datos-2/counting_pc16.bin,4096,16,67108864,637,1166,201277441,49152,true,true
countingsort,/home/gabo/Documents/Proyecto1-Datos-2/final_256.bin,/home/gabo/Documents/Proyecto1-Datos-2/counting_pc32.bin,4096,32,67108864,673,1209,201277441,49152,true,true
countingsort,/home/gabo/Documents/Proyecto1-Datos-2/final_256.bin,/home/gabo/Documents/Proyecto1-Datos-2/counting_pc64.bin,4096,64,67108864,853,1461,201277441,49152,true,true
heapsort,/home/gabo/Documents/Proyecto1-Datos-2/final_256.bin,/home/gabo/Documents/Proyecto1-Datos-2/heap_ps512.bin,512,32,67108864,620659,620892,8111176647,259078243,false,true
heapsort,/home/gabo/Documents/Proyecto1-Datos-2/final_256.bin,/home/gabo/Documents/Proyecto1-Datos-2/heap_ps1024.bin,1024,32,67108864,1954861,1955089,7552134641,818709740,true,true
radixsort,/home/gabo/Documents/Proyecto1-Datos-2/final_256_smallrange.bin,/home/gabo/Documents/Proyecto1-Datos-2/counting_pc64.bin,4096,32,67108864,5402,5615,805059493,246875,true,true
radixsort,/home/gabo/Documents/Proyecto1-Datos-2/final_512_smallrange.bin,/home/gabo/Documents/Proyecto1-Datos-2/counting_pc64.bin,4096,32,134217728,20962,21652,1610119158,493578,true,true
heapsort,/home/gabo/Documents/Proyecto1-Datos-2/final_256.bin,/home/gabo/Documents/Proyecto1-Datos-2/heap_ps2048.bin,2048,32,67108864,1800280,1800536,7627813814,743030567,true,true
heapsort,/home/gabo/Documents/Proyecto1-Datos-2/final_256.bin,/home/gabo/Documents/Proyecto1-Datos-2/heap_ps4096.bin,4096,32,67108864,2547584,2547842,7703167182,667677199,true,true
